Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
nt,Mining                                    ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Natural gas            ,,,0.2,0.2,0.2,0.7,0.7,6.5,19.8,18.5,20.9,16.3,19.1,16.7,19.9,19.7,18.5,21.3,19.5,17.9,44.8
nt,Mining                                    ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Electricity            ,,,1.4,2,0.5,0.5,0.8,1.1,2.5,2.3,1.2,1.2,1.3,1.5,1.6,1.8,2.4,2.5,2.4,4.5,7.8
nt,Mining                                    ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Thermal electricity    ,,0.5,0.5,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,,Energy consumption,3,3.4,1.5,3.4,5.8,16.5,26.5,24.5,25.1,20,23.4,21.5,26,26.1,25,26.9,24.9,28,59.1
nt,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Electricity            ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,,Energy consumption,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Electricity            ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
nt,Oil_and_gas,,,Energy consumption,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Electricity            ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
nt,Other_mining ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
