Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
qld,Mining                                    ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Diesel                    ,,,22.1,24,37.5,39.5,47.6,41.7,41,42.2,45.6,47.4,52.4,63.7,72.8,74.6,67.6,65.7,72.4,82.1,88.1
qld,Mining                                    ,    Fuel oil               ,,,,,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.1,,,0
qld,Mining                                    ,    Petroleum products nec ,,,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.7,1,1,1,1,0,0,0,0,0,0.4
qld,Mining                                    ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Natural gas            ,,,10,10.5,8.5,9.1,9.7,10.5,11.2,14.1,11.8,16.7,15.1,15.4,19.3,21,29.8,65.3,102.3,110.8,114.4
qld,Mining                                    ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Electricity            ,,,20.6,20.6,16.8,17.3,17.3,17.3,17.1,17.8,21,20.7,21.6,23.5,24.3,25.5,31,40.1,45.5,47.2,50.3
qld,Mining                                    ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,    Thermal electricity    ,,3.1,0.3,,,,,,,,,,,,,,,,,
