Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
wa,Mining                                    ,    Diesel                    ,,,29.7,32.7,35.8,32.8,33.7,30.6,32.4,36.8,41.4,39.5,46.9,62,79.8,82.2,80.6,81.4,85.3,90.2,95.1
wa,Mining                                    ,    Fuel oil               ,,,,,0,0,0,0,0,0,0.3,0,0,0,,0.4,0.5,0.4,0.5,0.4,0.3
wa,Mining                                    ,    Petroleum products nec ,,,,,1.4,1.4,1.4,1.3,1.3,1.3,1.5,2.3,2.8,4.1,3.6,4.5,1.7,1.6,1.9,3.2,2.8
wa,Mining                                    ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Natural gas            ,,,67.4,69.7,48.4,48.4,61,69.6,82.7,84.1,88.7,88.8,94.5,97.4,104.3,105.8,106.1,112,150.8,180.4,207.8
wa,Mining                                    ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Electricity            ,,,15.3,15.7,17.2,17.1,17.2,27,26,25.2,28.2,31.9,38.6,37.8,42.4,52.4,48.7,50.6,56,59.8,63.8
wa,Mining                                    ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,    Thermal electricity    ,,7.4,7.8,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,,Energy consumption  ,111.8,117.3,103.1,99.9,114,129.3,143,148,169.2,169,189.3,207.3,234,249.3,239,249.8,298.4,338.3,373.6
wa,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Electricity            ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
wa,Coal_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
