,location,industry,fuels_consumed,date,value
1354,aus,Construction,LPG,2000-01,0.2
1366,aus,Construction,Naturalgas,2000-01,2.1
1361,aus,Construction,Fueloil,2000-01,0.1
1360,aus,Construction,Diesel,2000-01,25.3
1369,aus,Construction,Electricity,2000-01,0.3
1465,aus,Transport_postal,Electricity,2000-01,8.5
1462,aus,Transport_postal,Naturalgas,2000-01,13.6
1457,aus,Transport_postal,Fueloil,2000-01,39
1456,aus,Transport_postal,Diesel,2000-01,313.8
1450,aus,Transport_postal,LPG,2000-01,57.3
1414,aus,Commercial_services,Naturalgas,2000-01,42.7
1409,aus,Commercial_services,Fueloil,2000-01,0.3
1408,aus,Commercial_services,Diesel,2000-01,14.3
1402,aus,Commercial_services,LPG,2000-01,4.3
1394,aus,Commercial_services,Blackcoal,2000-01,1.3
1416,aus,Commercial_services,Solarenergy,2000-01,0.2
1417,aus,Commercial_services,Electricity,2000-01,148.6
1442,aus,Transport_postal,Blackcoal,2000-01,4.9
1162,aus,Electricity_gas_water_serv,LPG,2000-01,1
1155,aus,Electricity_gas_water_serv,Browncoal,2000-01,657.8
1154,aus,Electricity_gas_water_serv,Blackcoal,2000-01,1176.1
1177,aus,Electricity_gas_water_serv,Electricity,2000-01,110.3
1174,aus,Electricity_gas_water_serv,Naturalgas,2000-01,257.6
1169,aus,Electricity_gas_water_serv,Fueloil,2000-01,3.4
1168,aus,Electricity_gas_water_serv,Diesel,2000-01,11.1
1922,aus,Residential,Blackcoal,2000-01,0.1
1945,aus,Residential,Electricity,2000-01,178.5
1944,aus,Residential,Solarenergy,2000-01,2.4
1942,aus,Residential,Naturalgas,2000-01,121.6
1936,aus,Residential,Diesel,2000-01,1.5
1930,aus,Residential,LPG,2000-01,10.8
266,aus,Manufacturing,Liquid/gasBiofuels,2000-01,1.6
265,aus,Manufacturing,Electricity,2000-01,265.6
262,aus,Manufacturing,Naturalgas,2000-01,397.8
257,aus,Manufacturing,Fueloil,2000-01,35.4
256,aus,Manufacturing,Diesel,2000-01,12.9
250,aus,Manufacturing,LPG,2000-01,17.5
73,aus,Mining,Electricity,2000-01,56.8
70,aus,Mining,Naturalgas,2000-01,126.1
65,aus,Mining,Fueloil,2000-01,1.8
64,aus,Mining,Diesel,2000-01,68.7
25,aus,Agriculture,Electricity,2000-01,7.8
22,aus,Agriculture,Naturalgas,2000-01,0.1
16,aus,Agriculture,Diesel,2000-01,72.1
10,aus,Agriculture,LPG,2000-01,1.2
58,aus,Mining,LPG,2000-01,0.7
51,aus,Mining,Browncoal,2000-01,8.1
50,aus,Mining,Blackcoal,2000-01,6.7
242,aus,Manufacturing,Blackcoal,2000-01,231
3370,aus,Construction,LPG,2001-02,0.2
3385,aus,Construction,Electricity,2001-02,0.3
3382,aus,Construction,Naturalgas,2001-02,2.4
3377,aus,Construction,Fueloil,2001-02,0.3
3376,aus,Construction,Diesel,2001-02,24.3
3481,aus,Transport_postal,Electricity,2001-02,8.3
3478,aus,Transport_postal,Naturalgas,2001-02,15.5
3473,aus,Transport_postal,Fueloil,2001-02,40
3472,aus,Transport_postal,Diesel,2001-02,330.8
3430,aus,Commercial_services,Naturalgas,2001-02,43.2
3425,aus,Commercial_services,Fueloil,2001-02,0.1
3424,aus,Commercial_services,Diesel,2001-02,16.5
3418,aus,Commercial_services,LPG,2001-02,3.3
3410,aus,Commercial_services,Blackcoal,2001-02,1.2
3432,aus,Commercial_services,Solarenergy,2001-02,0.2
3433,aus,Commercial_services,Electricity,2001-02,154.5
3458,aus,Transport_postal,Blackcoal,2001-02,5
3466,aus,Transport_postal,LPG,2001-02,56.5
3178,aus,Electricity_gas_water_serv,LPG,2001-02,1.1
3171,aus,Electricity_gas_water_serv,Browncoal,2001-02,661.6
3170,aus,Electricity_gas_water_serv,Blackcoal,2001-02,1213.7
3193,aus,Electricity_gas_water_serv,Electricity,2001-02,111.4
3190,aus,Electricity_gas_water_serv,Naturalgas,2001-02,264.7
3185,aus,Electricity_gas_water_serv,Fueloil,2001-02,3.3
3184,aus,Electricity_gas_water_serv,Diesel,2001-02,11.4
3938,aus,Residential,Blackcoal,2001-02,0.1
3961,aus,Residential,Electricity,2001-02,180.2
3960,aus,Residential,Solarenergy,2001-02,2.6
3958,aus,Residential,Naturalgas,2001-02,124.9
3952,aus,Residential,Diesel,2001-02,1.5
3946,aus,Residential,LPG,2001-02,11
2282,aus,Manufacturing,Liquid/gasBiofuels,2001-02,2.1
2281,aus,Manufacturing,Electricity,2001-02,267.4
2278,aus,Manufacturing,Naturalgas,2001-02,397.5
2273,aus,Manufacturing,Fueloil,2001-02,35.4
2272,aus,Manufacturing,Diesel,2001-02,13.1
2266,aus,Manufacturing,LPG,2001-02,17.7
2089,aus,Mining,Electricity,2001-02,56.9
2086,aus,Mining,Naturalgas,2001-02,128.3
2081,aus,Mining,Fueloil,2001-02,1.6
2080,aus,Mining,Diesel,2001-02,74.5
2074,aus,Mining,LPG,2001-02,0.8
2041,aus,Agriculture,Electricity,2001-02,7.3
2038,aus,Agriculture,Naturalgas,2001-02,0.1
2032,aus,Agriculture,Diesel,2001-02,73
2026,aus,Agriculture,LPG,2001-02,1.3
2067,aus,Mining,Browncoal,2001-02,11.8
2066,aus,Mining,Blackcoal,2001-02,6.7
2258,aus,Manufacturing,Blackcoal,2001-02,232
5386,aus,Construction,LPG,2002-03,0.2
5401,aus,Construction,Electricity,2002-03,0.3
5398,aus,Construction,Naturalgas,2002-03,2.5
5393,aus,Construction,Fueloil,2002-03,0.3
5392,aus,Construction,Diesel,2002-03,23.5
5497,aus,Transport_postal,Electricity,2002-03,12.3
5494,aus,Transport_postal,Naturalgas,2002-03,16.6
5489,aus,Transport_postal,Fueloil,2002-03,38.5
5488,aus,Transport_postal,Diesel,2002-03,345.5
5482,aus,Transport_postal,LPG,2002-03,66.3
5446,aus,Commercial_services,Naturalgas,2002-03,43.5
5441,aus,Commercial_services,Fueloil,2002-03,0.1
5440,aus,Commercial_services,Diesel,2002-03,15.6
5434,aus,Commercial_services,LPG,2002-03,3.2
5426,aus,Commercial_services,Blackcoal,2002-03,1.3
5448,aus,Commercial_services,Solarenergy,2002-03,0.2
5449,aus,Commercial_services,Electricity,2002-03,183.1
5474,aus,Transport_postal,Blackcoal,2002-03,5
5194,aus,Electricity_gas_water_serv,LPG,2002-03,0.9
5187,aus,Electricity_gas_water_serv,Browncoal,2002-03,685.9
5186,aus,Electricity_gas_water_serv,Blackcoal,2002-03,1176.2
5210,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2002-03,8.4
5209,aus,Electricity_gas_water_serv,Electricity,2002-03,111.2
5206,aus,Electricity_gas_water_serv,Naturalgas,2002-03,240.9
5201,aus,Electricity_gas_water_serv,Fueloil,2002-03,5.7
5200,aus,Electricity_gas_water_serv,Diesel,2002-03,20.7
5954,aus,Residential,Blackcoal,2002-03,0.1
5977,aus,Residential,Electricity,2002-03,194
5976,aus,Residential,Solarenergy,2002-03,2.6
5974,aus,Residential,Naturalgas,2002-03,124.9
5968,aus,Residential,Diesel,2002-03,1.6
5962,aus,Residential,LPG,2002-03,11.4
4298,aus,Manufacturing,Liquid/gasBiofuels,2002-03,2.6
4297,aus,Manufacturing,Electricity,2002-03,236.2
4294,aus,Manufacturing,Naturalgas,2002-03,407
4289,aus,Manufacturing,Fueloil,2002-03,34.2
4288,aus,Manufacturing,Diesel,2002-03,10.9
4282,aus,Manufacturing,LPG,2002-03,15.8
4106,aus,Mining,Liquid/gasBiofuels,2002-03,0.1
4105,aus,Mining,Electricity,2002-03,52.1
4102,aus,Mining,Naturalgas,2002-03,106.5
4097,aus,Mining,Fueloil,2002-03,0.5
4096,aus,Mining,Diesel,2002-03,92.2
4057,aus,Agriculture,Electricity,2002-03,9.9
4054,aus,Agriculture,Naturalgas,2002-03,0.1
4048,aus,Agriculture,Diesel,2002-03,82.1
4042,aus,Agriculture,LPG,2002-03,1.2
4090,aus,Mining,LPG,2002-03,1.2
4275,aus,Manufacturing,Browncoal,2002-03,13.2
4274,aus,Manufacturing,Blackcoal,2002-03,245.4
7402,aus,Construction,LPG,2003-04,0.2
7414,aus,Construction,Naturalgas,2003-04,2.6
7409,aus,Construction,Fueloil,2003-04,0.3
7408,aus,Construction,Diesel,2003-04,23.3
7417,aus,Construction,Electricity,2003-04,0.3
7513,aus,Transport_postal,Electricity,2003-04,12.8
7510,aus,Transport_postal,Naturalgas,2003-04,15.7
7505,aus,Transport_postal,Fueloil,2003-04,41.1
7504,aus,Transport_postal,Diesel,2003-04,360.1
7498,aus,Transport_postal,LPG,2003-04,66
7462,aus,Commercial_services,Naturalgas,2003-04,43.8
7457,aus,Commercial_services,Fueloil,2003-04,0.1
7456,aus,Commercial_services,Diesel,2003-04,16.5
7450,aus,Commercial_services,LPG,2003-04,4.2
7442,aus,Commercial_services,Blackcoal,2003-04,1.3
7464,aus,Commercial_services,Solarenergy,2003-04,0.2
7465,aus,Commercial_services,Electricity,2003-04,187.3
7490,aus,Transport_postal,Blackcoal,2003-04,5.8
7210,aus,Electricity_gas_water_serv,LPG,2003-04,1.2
7203,aus,Electricity_gas_water_serv,Browncoal,2003-04,704.7
7202,aus,Electricity_gas_water_serv,Blackcoal,2003-04,1245.1
7226,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2003-04,8.7
7225,aus,Electricity_gas_water_serv,Electricity,2003-04,123.2
7222,aus,Electricity_gas_water_serv,Naturalgas,2003-04,259.9
7217,aus,Electricity_gas_water_serv,Fueloil,2003-04,6.8
7216,aus,Electricity_gas_water_serv,Diesel,2003-04,26.2
7970,aus,Residential,Blackcoal,2003-04,0.1
7993,aus,Residential,Electricity,2003-04,201.5
7992,aus,Residential,Solarenergy,2003-04,2.5
7990,aus,Residential,Naturalgas,2003-04,125.3
7984,aus,Residential,Diesel,2003-04,1.5
7978,aus,Residential,LPG,2003-04,11.2
6314,aus,Manufacturing,Liquid/gasBiofuels,2003-04,1.7
6313,aus,Manufacturing,Electricity,2003-04,237.1
6310,aus,Manufacturing,Naturalgas,2003-04,417.4
6305,aus,Manufacturing,Fueloil,2003-04,33.6
6304,aus,Manufacturing,Diesel,2003-04,11.5
6298,aus,Manufacturing,LPG,2003-04,16.5
6122,aus,Mining,Liquid/gasBiofuels,2003-04,0.1
6121,aus,Mining,Electricity,2003-04,54.8
6118,aus,Mining,Naturalgas,2003-04,109.2
6113,aus,Mining,Fueloil,2003-04,0.5
6112,aus,Mining,Diesel,2003-04,97
6106,aus,Mining,LPG,2003-04,1.2
6073,aus,Agriculture,Electricity,2003-04,9.6
6070,aus,Agriculture,Naturalgas,2003-04,0.1
6064,aus,Agriculture,Diesel,2003-04,82
6058,aus,Agriculture,LPG,2003-04,1.3
6291,aus,Manufacturing,Browncoal,2003-04,9.8
6290,aus,Manufacturing,Blackcoal,2003-04,258
9418,aus,Construction,LPG,2004-05,0.2
9433,aus,Construction,Electricity,2004-05,0.3
9430,aus,Construction,Naturalgas,2004-05,3.1
9425,aus,Construction,Fueloil,2004-05,0.9
9424,aus,Construction,Diesel,2004-05,22.9
9529,aus,Transport_postal,Electricity,2004-05,12.5
9526,aus,Transport_postal,Naturalgas,2004-05,16.9
9521,aus,Transport_postal,Fueloil,2004-05,37.8
9520,aus,Transport_postal,Diesel,2004-05,373.6
9514,aus,Transport_postal,LPG,2004-05,60.9
9478,aus,Commercial_services,Naturalgas,2004-05,44
9473,aus,Commercial_services,Fueloil,2004-05,0.1
9472,aus,Commercial_services,Diesel,2004-05,17.6
9480,aus,Commercial_services,Solarenergy,2004-05,0.2
9466,aus,Commercial_services,LPG,2004-05,3.1
9458,aus,Commercial_services,Blackcoal,2004-05,1.3
9481,aus,Commercial_services,Electricity,2004-05,187.3
9506,aus,Transport_postal,Blackcoal,2004-05,8
9226,aus,Electricity_gas_water_serv,LPG,2004-05,1.4
9219,aus,Electricity_gas_water_serv,Browncoal,2004-05,701.4
9218,aus,Electricity_gas_water_serv,Blackcoal,2004-05,1279.5
9242,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2004-05,7.3
9241,aus,Electricity_gas_water_serv,Electricity,2004-05,117.4
9238,aus,Electricity_gas_water_serv,Naturalgas,2004-05,264
9233,aus,Electricity_gas_water_serv,Fueloil,2004-05,6.6
9232,aus,Electricity_gas_water_serv,Diesel,2004-05,28
9986,aus,Residential,Blackcoal,2004-05,0.1
10009,aus,Residential,Electricity,2004-05,198.5
10008,aus,Residential,Solarenergy,2004-05,2.5
10006,aus,Residential,Naturalgas,2004-05,128.4
10000,aus,Residential,Diesel,2004-05,1.4
9994,aus,Residential,LPG,2004-05,11.3
8330,aus,Manufacturing,Liquid/gasBiofuels,2004-05,1.8
8329,aus,Manufacturing,Electricity,2004-05,241.8
8326,aus,Manufacturing,Naturalgas,2004-05,423.7
8321,aus,Manufacturing,Fueloil,2004-05,33.3
8320,aus,Manufacturing,Diesel,2004-05,10.8
8314,aus,Manufacturing,LPG,2004-05,17
8138,aus,Mining,Liquid/gasBiofuels,2004-05,0.2
8137,aus,Mining,Electricity,2004-05,55.7
8134,aus,Mining,Naturalgas,2004-05,116.2
8129,aus,Mining,Fueloil,2004-05,0.5
8128,aus,Mining,Diesel,2004-05,111.4
8089,aus,Agriculture,Electricity,2004-05,8.7
8086,aus,Agriculture,Naturalgas,2004-05,0.1
8080,aus,Agriculture,Diesel,2004-05,86.8
8074,aus,Agriculture,LPG,2004-05,1.4
8122,aus,Mining,LPG,2004-05,1.3
8307,aus,Manufacturing,Browncoal,2004-05,10.3
8306,aus,Manufacturing,Blackcoal,2004-05,265.5
11449,aus,Construction,Electricity,2005-06,0.3
11446,aus,Construction,Naturalgas,2005-06,3.1
11441,aus,Construction,Fueloil,2005-06,0.5
11440,aus,Construction,Diesel,2005-06,22
11434,aus,Construction,LPG,2005-06,0.2
11545,aus,Transport_postal,Electricity,2005-06,13.4
11542,aus,Transport_postal,Naturalgas,2005-06,18
11537,aus,Transport_postal,Fueloil,2005-06,38.7
11536,aus,Transport_postal,Diesel,2005-06,390.6
11530,aus,Transport_postal,LPG,2005-06,68.4
11494,aus,Commercial_services,Naturalgas,2005-06,42.6
11489,aus,Commercial_services,Fueloil,2005-06,0.1
11488,aus,Commercial_services,Diesel,2005-06,20.9
11496,aus,Commercial_services,Solarenergy,2005-06,0.2
11482,aus,Commercial_services,LPG,2005-06,3
11474,aus,Commercial_services,Blackcoal,2005-06,0.9
11497,aus,Commercial_services,Electricity,2005-06,189.2
11522,aus,Transport_postal,Blackcoal,2005-06,6.9
11242,aus,Electricity_gas_water_serv,LPG,2005-06,1.5
11235,aus,Electricity_gas_water_serv,Browncoal,2005-06,717.2
11234,aus,Electricity_gas_water_serv,Blackcoal,2005-06,1304
11258,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2005-06,8
11257,aus,Electricity_gas_water_serv,Electricity,2005-06,119
11254,aus,Electricity_gas_water_serv,Naturalgas,2005-06,252.8
11249,aus,Electricity_gas_water_serv,Fueloil,2005-06,6.4
11248,aus,Electricity_gas_water_serv,Diesel,2005-06,30.9
12002,aus,Residential,Blackcoal,2005-06,0.1
12025,aus,Residential,Electricity,2005-06,201.5
12024,aus,Residential,Solarenergy,2005-06,2.3
12022,aus,Residential,Naturalgas,2005-06,132.5
12016,aus,Residential,Diesel,2005-06,1.3
12010,aus,Residential,LPG,2005-06,13.9
10346,aus,Manufacturing,Liquid/gasBiofuels,2005-06,1.7
10345,aus,Manufacturing,Electricity,2005-06,238.8
10342,aus,Manufacturing,Naturalgas,2005-06,423
10337,aus,Manufacturing,Fueloil,2005-06,35
10336,aus,Manufacturing,Diesel,2005-06,10.2
10154,aus,Mining,Liquid/gasBiofuels,2005-06,0.2
10153,aus,Mining,Electricity,2005-06,66.1
10150,aus,Mining,Naturalgas,2005-06,128.8
10145,aus,Mining,Fueloil,2005-06,0.6
10144,aus,Mining,Diesel,2005-06,105.7
10105,aus,Agriculture,Electricity,2005-06,9
10102,aus,Agriculture,Naturalgas,2005-06,0.1
10096,aus,Agriculture,Diesel,2005-06,81.6
10090,aus,Agriculture,LPG,2005-06,1.6
10138,aus,Mining,LPG,2005-06,2
10330,aus,Manufacturing,LPG,2005-06,19.7
10323,aus,Manufacturing,Browncoal,2005-06,7.9
10322,aus,Manufacturing,Blackcoal,2005-06,264.4
13465,aus,Construction,Electricity,2006-07,0.3
13462,aus,Construction,Naturalgas,2006-07,3.1
13457,aus,Construction,Fueloil,2006-07,0.5
13456,aus,Construction,Diesel,2006-07,22
13450,aus,Construction,LPG,2006-07,0.3
13562,aus,Transport_postal,Liquid/gasBiofuels,2006-07,1
13561,aus,Transport_postal,Electricity,2006-07,13.9
13558,aus,Transport_postal,Naturalgas,2006-07,18.6
13553,aus,Transport_postal,Fueloil,2006-07,38.7
13552,aus,Transport_postal,Diesel,2006-07,406.1
13546,aus,Transport_postal,LPG,2006-07,62
13505,aus,Commercial_services,Fueloil,2006-07,0.1
13504,aus,Commercial_services,Diesel,2006-07,21.5
13498,aus,Commercial_services,LPG,2006-07,3
13490,aus,Commercial_services,Blackcoal,2006-07,0.9
13510,aus,Commercial_services,Naturalgas,2006-07,42.5
13512,aus,Commercial_services,Solarenergy,2006-07,0.2
13513,aus,Commercial_services,Electricity,2006-07,202.2
13538,aus,Transport_postal,Blackcoal,2006-07,7.4
13258,aus,Electricity_gas_water_serv,LPG,2006-07,1
13251,aus,Electricity_gas_water_serv,Browncoal,2006-07,714.4
13250,aus,Electricity_gas_water_serv,Blackcoal,2006-07,1325.4
13274,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2006-07,7.9
13273,aus,Electricity_gas_water_serv,Electricity,2006-07,121.9
13270,aus,Electricity_gas_water_serv,Naturalgas,2006-07,345.9
13265,aus,Electricity_gas_water_serv,Fueloil,2006-07,5.9
13264,aus,Electricity_gas_water_serv,Diesel,2006-07,29.4
14018,aus,Residential,Blackcoal,2006-07,0.1
14041,aus,Residential,Electricity,2006-07,207.7
14040,aus,Residential,Solarenergy,2006-07,5.8
14038,aus,Residential,Naturalgas,2006-07,134.5
14032,aus,Residential,Diesel,2006-07,1.3
14026,aus,Residential,LPG,2006-07,13.2
12362,aus,Manufacturing,Liquid/gasBiofuels,2006-07,1.7
12361,aus,Manufacturing,Electricity,2006-07,251.1
12358,aus,Manufacturing,Naturalgas,2006-07,435.8
12353,aus,Manufacturing,Fueloil,2006-07,33.1
12352,aus,Manufacturing,Diesel,2006-07,11.9
12346,aus,Manufacturing,LPG,2006-07,21.4
12170,aus,Mining,Liquid/gasBiofuels,2006-07,0.2
12169,aus,Mining,Electricity,2006-07,67.8
12166,aus,Mining,Naturalgas,2006-07,151.4
12161,aus,Mining,Fueloil,2006-07,0.6
12160,aus,Mining,Diesel,2006-07,101.3
12121,aus,Agriculture,Electricity,2006-07,9.3
12118,aus,Agriculture,Naturalgas,2006-07,0.1
12112,aus,Agriculture,Diesel,2006-07,78.5
12106,aus,Agriculture,LPG,2006-07,1.6
12154,aus,Mining,LPG,2006-07,1.8
12339,aus,Manufacturing,Browncoal,2006-07,7.5
12338,aus,Manufacturing,Blackcoal,2006-07,268.1
15481,aus,Construction,Electricity,2007-08,0.3
15478,aus,Construction,Naturalgas,2007-08,3.1
15473,aus,Construction,Fueloil,2007-08,0.5
15472,aus,Construction,Diesel,2007-08,22
15466,aus,Construction,LPG,2007-08,0.3
15578,aus,Transport_postal,Liquid/gasBiofuels,2007-08,2.8
15577,aus,Transport_postal,Electricity,2007-08,14.6
15574,aus,Transport_postal,Naturalgas,2007-08,19
15569,aus,Transport_postal,Fueloil,2007-08,42.7
15568,aus,Transport_postal,Diesel,2007-08,426.6
15562,aus,Transport_postal,LPG,2007-08,59.8
15521,aus,Commercial_services,Fueloil,2007-08,0.1
15520,aus,Commercial_services,Diesel,2007-08,22.4
15514,aus,Commercial_services,LPG,2007-08,3.1
15506,aus,Commercial_services,Blackcoal,2007-08,0.7
15526,aus,Commercial_services,Naturalgas,2007-08,43.2
15528,aus,Commercial_services,Solarenergy,2007-08,0.2
15529,aus,Commercial_services,Electricity,2007-08,202.9
15554,aus,Transport_postal,Blackcoal,2007-08,8
15274,aus,Electricity_gas_water_serv,LPG,2007-08,0.8
15267,aus,Electricity_gas_water_serv,Browncoal,2007-08,718
15266,aus,Electricity_gas_water_serv,Blackcoal,2007-08,1297.4
15290,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2007-08,10.6
15289,aus,Electricity_gas_water_serv,Electricity,2007-08,120.8
15286,aus,Electricity_gas_water_serv,Naturalgas,2007-08,378.6
15281,aus,Electricity_gas_water_serv,Fueloil,2007-08,6.9
15280,aus,Electricity_gas_water_serv,Diesel,2007-08,42.5
16034,aus,Residential,Blackcoal,2007-08,0.1
16057,aus,Residential,Electricity,2007-08,210.2
16056,aus,Residential,Solarenergy,2007-08,6.5
16054,aus,Residential,Naturalgas,2007-08,136.9
16048,aus,Residential,Diesel,2007-08,1.3
16042,aus,Residential,LPG,2007-08,15
14378,aus,Manufacturing,Liquid/gasBiofuels,2007-08,1.7
14377,aus,Manufacturing,Electricity,2007-08,249.1
14374,aus,Manufacturing,Naturalgas,2007-08,435.1
14369,aus,Manufacturing,Fueloil,2007-08,36.1
14368,aus,Manufacturing,Diesel,2007-08,15.7
14362,aus,Manufacturing,LPG,2007-08,19.4
14186,aus,Mining,Liquid/gasBiofuels,2007-08,0.1
14185,aus,Mining,Electricity,2007-08,67.6
14182,aus,Mining,Naturalgas,2007-08,152.7
14177,aus,Mining,Fueloil,2007-08,0.6
14176,aus,Mining,Diesel,2007-08,108
14137,aus,Agriculture,Electricity,2007-08,9.1
14134,aus,Agriculture,Naturalgas,2007-08,0.1
14128,aus,Agriculture,Diesel,2007-08,79.3
14122,aus,Agriculture,LPG,2007-08,1.6
14170,aus,Mining,LPG,2007-08,1.5
14355,aus,Manufacturing,Browncoal,2007-08,7
14354,aus,Manufacturing,Blackcoal,2007-08,275
17494,aus,Construction,Naturalgas,2008-09,3.1
17482,aus,Construction,LPG,2008-09,0.2
17497,aus,Construction,Electricity,2008-09,0.3
17489,aus,Construction,Fueloil,2008-09,0.5
17488,aus,Construction,Diesel,2008-09,21.5
17594,aus,Transport_postal,Liquid/gasBiofuels,2008-09,5.7
17593,aus,Transport_postal,Electricity,2008-09,12.3
17590,aus,Transport_postal,Naturalgas,2008-09,14
17585,aus,Transport_postal,Fueloil,2008-09,40.5
17584,aus,Transport_postal,Diesel,2008-09,440.9
17578,aus,Transport_postal,LPG,2008-09,58.5
17542,aus,Commercial_services,Naturalgas,2008-09,45.5
17537,aus,Commercial_services,Fueloil,2008-09,0.1
17536,aus,Commercial_services,Diesel,2008-09,22.7
17530,aus,Commercial_services,LPG,2008-09,3.2
17522,aus,Commercial_services,Blackcoal,2008-09,0.7
17544,aus,Commercial_services,Solarenergy,2008-09,0.3
17570,aus,Transport_postal,Blackcoal,2008-09,4.9
17545,aus,Commercial_services,Electricity,2008-09,204.6
17290,aus,Electricity_gas_water_serv,LPG,2008-09,0.6
17283,aus,Electricity_gas_water_serv,Browncoal,2008-09,743.5
17282,aus,Electricity_gas_water_serv,Blackcoal,2008-09,1361.2
17306,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2008-09,12.3
17305,aus,Electricity_gas_water_serv,Electricity,2008-09,125.7
17302,aus,Electricity_gas_water_serv,Naturalgas,2008-09,464.8
17297,aus,Electricity_gas_water_serv,Fueloil,2008-09,6.4
17296,aus,Electricity_gas_water_serv,Diesel,2008-09,31.2
18073,aus,Residential,Electricity,2008-09,213.5
18072,aus,Residential,Solarenergy,2008-09,8
18070,aus,Residential,Naturalgas,2008-09,141.1
18064,aus,Residential,Diesel,2008-09,1.2
18058,aus,Residential,LPG,2008-09,15.1
16394,aus,Manufacturing,Liquid/gasBiofuels,2008-09,1.6
16393,aus,Manufacturing,Electricity,2008-09,253.2
16390,aus,Manufacturing,Naturalgas,2008-09,420.4
16385,aus,Manufacturing,Fueloil,2008-09,29
16384,aus,Manufacturing,Diesel,2008-09,14.9
16378,aus,Manufacturing,LPG,2008-09,20.7
16202,aus,Mining,Liquid/gasBiofuels,2008-09,0.2
16201,aus,Mining,Electricity,2008-09,73
16198,aus,Mining,Naturalgas,2008-09,163.9
16193,aus,Mining,Fueloil,2008-09,1
16192,aus,Mining,Diesel,2008-09,116.9
16186,aus,Mining,LPG,2008-09,1.7
16153,aus,Agriculture,Electricity,2008-09,8.3
16150,aus,Agriculture,Naturalgas,2008-09,0.1
16144,aus,Agriculture,Diesel,2008-09,78.9
16138,aus,Agriculture,LPG,2008-09,1.8
16178,aus,Mining,Blackcoal,2008-09,8.3
16371,aus,Manufacturing,Browncoal,2008-09,6.2
16370,aus,Manufacturing,Blackcoal,2008-09,225.7
19498,aus,Construction,LPG,2009-10,0.2
19513,aus,Construction,Electricity,2009-10,0.3
19510,aus,Construction,Naturalgas,2009-10,3
19505,aus,Construction,Fueloil,2009-10,0.5
19504,aus,Construction,Diesel,2009-10,21.1
19610,aus,Transport_postal,Liquid/gasBiofuels,2009-10,7.4
19609,aus,Transport_postal,Electricity,2009-10,13.5
19608,aus,Transport_postal,Solarenergy,2009-10,0
19606,aus,Transport_postal,Naturalgas,2009-10,13.9
19601,aus,Transport_postal,Fueloil,2009-10,33.7
19600,aus,Transport_postal,Diesel,2009-10,464.5
19594,aus,Transport_postal,LPG,2009-10,54.4
19558,aus,Commercial_services,Naturalgas,2009-10,47.8
19553,aus,Commercial_services,Fueloil,2009-10,0.1
19552,aus,Commercial_services,Diesel,2009-10,22.8
19546,aus,Commercial_services,LPG,2009-10,3.2
19538,aus,Commercial_services,Blackcoal,2009-10,0.6
19560,aus,Commercial_services,Solarenergy,2009-10,0.4
19561,aus,Commercial_services,Electricity,2009-10,208.1
19586,aus,Transport_postal,Blackcoal,2009-10,4.1
19306,aus,Electricity_gas_water_serv,LPG,2009-10,0.4
19299,aus,Electricity_gas_water_serv,Browncoal,2009-10,737
19298,aus,Electricity_gas_water_serv,Blackcoal,2009-10,1223.2
19322,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2009-10,12.2
19321,aus,Electricity_gas_water_serv,Electricity,2009-10,123.8
19318,aus,Electricity_gas_water_serv,Naturalgas,2009-10,465.2
19313,aus,Electricity_gas_water_serv,Fueloil,2009-10,5.9
19312,aus,Electricity_gas_water_serv,Diesel,2009-10,28.2
20089,aus,Residential,Electricity,2009-10,218.4
20088,aus,Residential,Solarenergy,2009-10,10.1
20086,aus,Residential,Naturalgas,2009-10,144.1
20080,aus,Residential,Diesel,2009-10,1.2
20074,aus,Residential,LPG,2009-10,14.7
18410,aus,Manufacturing,Liquid/gasBiofuels,2009-10,2.2
18409,aus,Manufacturing,Electricity,2009-10,260.3
18406,aus,Manufacturing,Naturalgas,2009-10,422.9
18401,aus,Manufacturing,Fueloil,2009-10,31.6
18400,aus,Manufacturing,Diesel,2009-10,14.9
18218,aus,Mining,Liquid/gasBiofuels,2009-10,0.8
18217,aus,Mining,Electricity,2009-10,76.1
18214,aus,Mining,Naturalgas,2009-10,160.8
18209,aus,Mining,Fueloil,2009-10,0.4
18208,aus,Mining,Diesel,2009-10,121.4
18169,aus,Agriculture,Electricity,2009-10,8.4
18166,aus,Agriculture,Naturalgas,2009-10,0.1
18160,aus,Agriculture,Diesel,2009-10,80.5
18154,aus,Agriculture,LPG,2009-10,1.8
18202,aus,Mining,LPG,2009-10,1.5
18194,aus,Mining,Blackcoal,2009-10,5.7
18394,aus,Manufacturing,LPG,2009-10,21.4
18387,aus,Manufacturing,Browncoal,2009-10,4.9
18386,aus,Manufacturing,Blackcoal,2009-10,254.7
21514,aus,Construction,LPG,2010-11,0.2
21529,aus,Construction,Electricity,2010-11,0.3
