,date,location,population,GDP,energy_consumption,GSP
8,2008-09,wa,2240250,,918.8,183919
9,2009-10,wa,2290845,,907.5,192854
10,2010-11,wa,2353409,,981.8,201434
11,2011-12,wa,2425507,,983.6,220648
12,2012-13,wa,2486944,,1020.3,233689
13,2013-14,wa,2517608,,1067.3,247281
14,2014-15,wa,2540672,,1041.8,253346
15,2015-16,wa,2555978,,1120.7,256383
16,2016-17,wa,2574193,,1172.9,251941
17,2017-18,wa,2594181,,1206.6,258120
18,2018-19,wa,2621836,,1261,260640
0,2000-01,nt,201743,,73.2,14361
1,2001-02,nt,202251,,73.4,15378
2,2002-03,nt,201725,,56.8,15471
3,2003-04,nt,202663,,58.7,15570
4,2004-05,nt,205905,,61.5,15787
5,2005-06,nt,209057,,73,17010
6,2006-07,nt,213748,,82.8,18791
7,2007-08,nt,219874,,96,19162
8,2008-09,nt,226027,,95.1,20437
9,2009-10,nt,229778,,94.2,20147
10,2010-11,nt,231292,,99.8,20635
11,2011-12,nt,235915,,98.2,21607
12,2012-13,nt,241722,,100.1,24189
13,2013-14,nt,242894,,99.1,24502
14,2014-15,nt,244692,,83.7,25105
15,2015-16,nt,245678,,83.9,25601
16,2016-17,nt,247517,,83.2,25977
17,2017-18,nt,247058,,91.1,26501
18,2018-19,nt,246103,,140.1,26109
